P00423R-B21,HPE 16GB 2Rx8 PC4-2400T Reman Smart Kit
P00756R-B21,HPE DL380 Gen10 Xeon-G 5117 Reman Kit
P00920R-B21,HPE 16GB 1Rx4 PC4-2933Y Reman Smart Kit
P00922R-B21,HPE 16GB 2Rx8 PC4-2933Y Reman Smart Kit
P00924R-B21,HPE 32GB 2Rx4 PC4-2933Y Reman Smart Kit
P00926R-B21,HPE 64GB 4Rx4 PC4-2933Y Reman Smart Kit
P00928R-B21,HPE 128GB 8Rx4 PC4-2933Y Reman Smart Kit
P00930R-B21,HPE 64GB 2Rx4 PC4-2933Y Reman Smart Kit
P02462R-B21,HPE DL380 Gen10 4208 16G 8SFF Reman Svr
P02463R-B21,HPE DL380 Gen10 4208 16G 12LFF Reman Svr
